Title,Directed by,Produced by,Starring,Lead,Cinematography,Production companies,Distributed by,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
The Adventures of Ford Fairlane,Renny Harlin,"['Steve Perry', 'Joel Silver']","['Andrew Dice Clay', 'Wayne Newton', 'Priscilla Presley', 'Morris Day', 'Robert Englund', ""Ed O'Neill""]",Andrew Dice Clay,Oliver Wood,['Silver Pictures'],20th Century Fox,1990-07-11,7.0,102.0,United States,English,20000000.0,21400000.0,6374391.0,Unknown
"After Dark, My Sweet",James Foley,"['Ric Kidney', 'Robert Redlin']","['Jason Patric', 'Rachel Ward', 'Bruce Dern', 'George Dickerson']",Jason Patric,Mark Plummer,['Avenue Pictures'],Avenue Pictures,1990-05-17,5.0,114.0,United States,English,6000000.0,2700000.0,244919.0,Unknown
Air America,Roger Spottiswoode,"['Daniel Melnick', 'Mario Kassar']","['Mel Gibson', 'Robert Downey Jr.', 'Nancy Travis', 'David Marshall Grant', 'Lane Smith']",Mel Gibson,Roger Deakins,"['Carolco Pictures', 'IndieProd Company']",Tri-Star Pictures,1990-08-10,8.0,113.0,United States,English,30000000.0,57700000.0,8064480.0,Unknown
Alice,Woody Allen,Robert Greenhut,"['Alec Baldwin', 'Blythe Danner', 'Judy Davis', 'Mia Farrow', 'William Hurt', 'Keye Luke', 'Joe Mantegna', 'Bernadette Peters']",Alec Baldwin,Carlo Di Palma,,Orion Pictures,1990-12-25,12.0,106.0,United States,English,12000000.0,,116101023.0,PG
Almost an Angel,John Cornell,John Cornell,"['Paul Hogan', 'Elias Koteas', 'Linda Kozlowski']",Paul Hogan,Russell Boyd,,Paramount Pictures,1990-12-19,12.0,95.0,United States,English,25000000.0,,1608365.0,Unknown
The Ambulance,Larry Cohen,"['Larry Cohen', 'Moctesuma Esparza', 'Robert Katz']","['Eric Roberts', 'James Earl Jones', 'Red Buttons', 'Megan Gallagher']",Eric Roberts,Jacques Haitkin,['Epic Productions'],Triumph Releasing Corporation,1990-03-22,3.0,95.0,United States,English,,,,Unknown
American Dream,"['Barbara Kopple', 'Co-directors:', 'Cathy Caplan', 'Thomas Haneke', 'Lawrence Silk']","['Arthur Cohn', 'Barbara Kopple']",,,"['Tom Hurwitz', 'Mathieu Roberts', 'Nesya Shapiro']","['Cabin Creek', 'Catholic Communication Campaign', 'Channel 4 Films']",Prestige Films,1990-10-06,10.0,100.0,,English,,,9291.0,PG-13
American Ninja 4: The Annihilation,Cedric Sundstrom,Ovidio G Assonitis,"['Michael Dudikoff', 'David Bradley', 'James Booth', 'Dwayne Alexandre']",Michael Dudikoff,,,"['Cannon Pictures', 'MGM/UA Home Video', 'Warner Home Video']",1991-03-08,3.0,99.0,,English,,,277462.0,Unknown
Angel Town,Eric Karson,"['Ash R. Shah', 'Eric Karson']","['Olivier Gruner', 'Theresa Saldana', 'Frank Aragon', 'Tony Valentino', 'Peter Kwong', 'Mike Moroff']",Olivier Gruner,John LeBlanc,,Imperial Entertainment,1990-02-23,2.0,102.0,United States,English,,,300000.0,Unknown
Another 48 Hrs.,Walter Hill,"['Lawrence Gordon', 'Robert D. Wachs']","['Eddie Murphy', 'Nick Nolte']",Eddie Murphy,Matthew F. Leonetti,['Eddie Murphy Productions'],Paramount Pictures,1990-06-08,6.0,95.0,United States,English,50000000.0,153500000.0,19475559.0,Unknown
