Title,Directed by,Produced by,Starring,Lead,Cinematography,Production companies,Distributed by,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
The Adventures of Ford Fairlane,Renny Harlin,"['Steve Perry', 'Joel Silver']","['Andrew Dice Clay', 'Wayne Newton', 'Priscilla Presley', 'Morris Day', 'Robert Englund', ""Ed O'Neill""]",Andrew Dice Clay,Oliver Wood,['Silver Pictures'],20th Century Fox,1990-07-11,7.0,102.0,United States,English,20000000.0,21400000.0,6374391.0,Unknown
"After Dark, My Sweet",James Foley,"['Ric Kidney', 'Robert Redlin']","['Jason Patric', 'Rachel Ward', 'Bruce Dern', 'George Dickerson']",Jason Patric,Mark Plummer,['Avenue Pictures'],Avenue Pictures,1990-05-17,5.0,114.0,United States,English,6000000.0,2700000.0,244919.0,Unknown
Air America,Roger Spottiswoode,"['Daniel Melnick', 'Mario Kassar']","['Mel Gibson', 'Robert Downey Jr.', 'Nancy Travis', 'David Marshall Grant', 'Lane Smith']",Mel Gibson,Roger Deakins,"['Carolco Pictures', 'IndieProd Company']",Tri-Star Pictures,1990-08-10,8.0,113.0,United States,English,30000000.0,57700000.0,8064480.0,Unknown
Another 48 Hrs.,Walter Hill,"['Lawrence Gordon', 'Robert D. Wachs']","['Eddie Murphy', 'Nick Nolte']",Eddie Murphy,Matthew F. Leonetti,['Eddie Murphy Productions'],Paramount Pictures,1990-06-08,6.0,95.0,United States,English,50000000.0,153500000.0,19475559.0,Unknown
48 Hrs.,Walter Hill,"['Lawrence Gordon', 'Joel Silver']","['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole""]",Nick Nolte,Ric Waite,['Lawrence Gordon Productions'],Paramount Pictures,1982-12-08,12.0,96.0,United States,English,12000000.0,78900000.0,4369868.0,Unknown
Arachnophobia,Frank Marshall,"['Kathleen Kennedy', 'Richard Vane']","['Jeff Daniels', 'Julian Sands', 'Harley Jane Kozak', 'John Goodman']",Jeff Daniels,Mikael Salomon,"['Hollywood Pictures', 'Amblin Entertainment', 'Tangled Web Productions']",Buena Vista Pictures,1990-07-18,7.0,110.0,United States,English,22000000.0,53200000.0,8045760.0,Unknown
Avalon,Barry Levinson,"['Mark Johnson', 'Barry Levinson']","['Armin Mueller-Stahl', 'Elizabeth Perkins', 'Joan Plowright', 'Aidan Quinn']",Armin Mueller-Stahl,Allen Daviau,['Baltimore Pictures'],"['TriStar Pictures', 'Columbia Pictures']",1990-10-05,10.0,126.0,United States,,20000000.0,15700000.0,226613.0,PG
Awakenings,Penny Marshall,"['Walter F. Parkes', 'Lawrence Lasker']","['Robert De Niro', 'Robin Williams', 'John Heard', 'Julie Kavner', 'Penelope Ann Miller', 'Max von Sydow']",Robert De Niro,Miroslav Ondricek,['Lasker/Parkes Productions'],Columbia Pictures,1990-12-20,12.0,121.0,United States,English,29000000.0,52100000.0,417076.0,Unknown
Back to the Future Part III,Robert Zemeckis,"['Bob Gale', 'Neil Canton']","['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Thomas F. Wilson', 'Lea Thompson', 'Elisabeth Shue']",Michael J. Fox,Dean Cundey,"['Amblin Entertainment', 'Universal Pictures']",Universal Pictures,1990-05-25,5.0,119.0,United States,English,40000000.0,246100000.0,19089645.0,Unknown
Bad Influence,Curtis Hanson,Steve Tisch,"['Rob Lowe', 'James Spader']",Rob Lowe,Robert Elswit,['Epic Productions'],Triumph Releasing Corporation,1990-03-09,3.0,100.0,United States,English,7000000.0,12626043.0,3822019.0,Unknown
