Title,Directed by,Starring,Lead,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
The Whole Nine Yards,Jonathan Lynn,"['Bruce Willis', 'Matthew Perry', 'Rosanna Arquette', 'Michael Clarke Duncan', 'Natasha Henstridge', 'Amanda Peet', 'Kevin Pollak']",Bruce Willis,2000-02-18,2.0,98.0,United States,English,41300000.0,106400000.0,13731070.0,
My Dog Skip,Jay Russell,"['Frankie Muniz', 'Diane Lane', 'Luke Wilson', 'Kevin Bacon']",Frankie Muniz,2000-01-14,1.0,95.0,United States,English,4500000.0,35500000.0,56943.0,PG
Romeo Must Die,Andrzej Bartkowiak,"['Jet Li', 'Aaliyah', 'Isaiah Washington', 'Russell Wong', 'DMX', 'Delroy Lindo']",Jet Li,2000-03-22,3.0,115.0,United States,English,25000000.0,91000000.0,18014503.0,R
Ready to Rumble,Brian Robbins,"['David Arquette', 'Oliver Platt', 'Scott Caan', 'Bill Goldberg', 'Rose McGowan', 'Diamond Dallas Page', 'Joe Pantoliano', 'Martin Landau']",David Arquette,2000-04-07,4.0,107.0,United States,English,24000000.0,12500000.0,5257778.0,PG-13
Gossip,Davis Guggenheim,"['James Marsden', 'Lena Headey', 'Norman Reedus', 'Kate Hudson', 'Marisa Coughlan', 'Eric Bogosian', 'Edward James Olmos', 'Joshua Jackson']",James Marsden,2000-04-21,4.0,90.0,United States,English,24000000.0,12000000.0,2321729.0,R
Battlefield Earth,Roger Christian,"['John Travolta', 'Barry Pepper', 'Forest Whitaker', 'Kim Coates', 'Richard Tyson', 'Sabine Karsenti']",John Travolta,2000-05-10,5.0,117.0,United States,English,44000000.0,29700000.0,11548898.0,PG-13
The Perfect Storm,Wolfgang Petersen,"['George Clooney', 'Mark Wahlberg', 'Diane Lane', 'John Hawkes', 'William Fichtner', 'Karen Allen', 'Bob Gunton', 'Mary Elizabeth Mastrantonio', 'John C. Reilly']",George Clooney,2000-06-30,6.0,130.0,United States,English,120000000.0,328700000.0,41325042.0,PG-13
The In Crowd,Mary Lambert,"['Susan Ward', 'Lori Heuring', 'Matthew Settle', 'Nathan Bexton']",Susan Ward,2000-07-19,7.0,105.0,United States,English,13000000.0,5000000.0,1505551.0,PG-13
Pokémon The Movie 2000: The Power of One,Kunihiko Yuyama,See below,S,1999-07-17,7.0,82.0,Japan,Japanese,30000000.0,133900000.0,19575608.0,
Space Cowboys,Clint Eastwood,"['Clint Eastwood', 'Tommy Lee Jones', 'Donald Sutherland', 'James Garner', 'Marcia Gay Harden', 'William Devane', 'Loren Dean', 'Courtney B. Vance', 'James Cromwell']",Clint Eastwood,2000-08-04,8.0,130.0,United States,English,,128900000.0,18093776.0,PG-13
